CGPA,Internship Type,Programming Language,Technology,Company,Job Role
7.5,Cloud,Python,DevOps,Infosys,Cloud Engineer
9.8,Software Dev,C#,DBMS,Amazon,Software Developer
8.9,Cybersecurity,C++,AI,TCS,Cybersecurity Engineer
8.4,AIML,Java,AI,Oracle,Data Scientist
6.6,Cybersecurity,Rust,Front End,NIIT Technologies,Cloud Engineer
6.6,Software Dev,Java,Big Data,NIIT Technologies,Software Developer
6.2,Software Dev,Java,Backend,Mphasis,Software Developer
9.5,AIML,Java,AI,Apple,Data Scientist
8.4,DevOps,TypeScript,Backend,Infosys,System Engineer
8.8,Software Dev,Python,Data Analytics,SAP,System Engineer
6.1,Cloud,Python,Cloud Computing,Birlasoft,Cloud Engineer
9.9,DevOps,Go,DevOps,OpenAI,DevOps Engineer
9.3,AIML,Python,ML,NVIDIA,AI Engineer
6.8,Web Dev,SQL,DBMS,Mphasis,Web Developer
6.7,Cybersecurity,C++,Cybersecurity,Mphasis,Cybersecurity Engineer
6.7,Software Dev,Java,Big Data,Mindtree,System Engineer
7.2,Software Dev,Python,Data Analytics,TCS,Data Analyst
8.1,Cloud,SQL,Data Analytics,Capgemini,Cloud Engineer
7.7,Software Dev,Python,Data Analytics,Wipro,Data Analyst
7.2,AIML,R,Data Analytics,Tech Mahindra,Data Scientist
8.4,Web Dev,JavaScript,Backend,SAP,Software Developer
6.6,AIML,Java,Big Data,Mindtree,Data Scientist
7.2,AIML,R,Data Analytics,Tech Mahindra,Data Scientist
7.5,Software Dev,Python,Data Analytics,Cognizant,Data Analyst
7.8,Software Dev,C#,DBMS,Wipro,Software Developer
9.1,Software Dev,Java,Backend,Google,Data Analyst
6.8,Cybersecurity,C++,Cybersecurity,NIIT Technologies,Cloud Engineer
8.1,AIML,R,ML,Capgemini,Data Scientist
8.4,Cybersecurity,Rust,Front End,Capgemini,Cybersecurity Engineer
6.2,Cloud,SQL,DBMS,NIIT Technologies,Cloud Engineer
8.4,AIML,Python,Big Data,Oracle,Data Scientist
6.7,AIML,Java,Big Data,Birlasoft,Data Scientist
6.3,Cybersecurity,C++,Cybersecurity,Mindtree,Cybersecurity Engineer
9.8,Web Dev,SQL,Data Analytics,OpenAI,Web Developer
9.9,DevOps,TypeScript,Backend,Microsoft,DevOps Engineer
9.2,Software Dev,Python,Data Analytics,Google,Data Analyst
7.2,Web Dev,TypeScript,Front End,Tech Mahindra,Web Developer
6.4,Cybersecurity,C++,Cybersecurity,HCL,Cybersecurity Engineer
8.7,Software Dev,Java,Backend,TCS,System Engineer
7.8,DevOps,Go,DevOps,Cognizant,DevOps Engineer
6.5,Web Dev,JavaScript,Front End,Birlasoft,Web Developer
8.0,Software Dev,Java,Big Data,Oracle,Data Analyst
6.1,AIML,R,ML,HCL,Data Scientist
9.6,Software Dev,Java,Backend,Amazon,Data Analyst
7.0,Cybersecurity,C++,Cybersecurity,Tech Mahindra,Cybersecurity Engineer
8.7,AIML,Java,AI,SAP,AI Engineer
7.2,Cloud,SQL,Data Analytics,Wipro,Cloud Engineer
8.1,AIML,Java,AI,IBM,AI Engineer
8.2,Software Dev,Java,Big Data,Oracle,System Engineer
6.7,Cybersecurity,Rust,Cybersecurity,Mphasis,Cloud Engineer
9.9,Cloud,Python,DevOps,Apple,DevOps Engineer
9.1,AIML,Java,Big Data,Google,AI Engineer
9.8,Web Dev,SQL,Data Analytics,IBM,Web Developer
9.6,Web Dev,SQL,DBMS,IBM,Web Developer
8.4,DevOps,SQL,Data Analytics,Infosys,DevOps Engineer
9.7,DevOps,Go,Cloud Computing,Microsoft,System Engineer
6.4,Web Dev,SQL,DBMS,Birlasoft,Software Developer
6.8,Software Dev,Python,Big Data,Mindtree,Software Developer
6.2,Web Dev,TypeScript,Front End,HCL,Web Developer
7.3,Cybersecurity,C++,Cybersecurity,Tech Mahindra,Cloud Engineer
7.6,Web Dev,JavaScript,Backend,HCL,Software Developer
7.1,Software Dev,Java,Big Data,HCL,Software Developer
9.3,AIML,R,ML,Amazon,AI Engineer
7.4,DevOps,TypeScript,DevOps,Infosys,DevOps Engineer
7.1,Web Dev,TypeScript,Front End,HCL,Software Developer
8.2,DevOps,TypeScript,Backend,Oracle,DevOps Engineer
6.6,AIML,Python,ML,Mindtree,Data Scientist
9.2,Web Dev,TypeScript,Front End,OpenAI,Software Developer
6.3,AIML,Python,ML,Birlasoft,Data Scientist
9.9,AIML,Java,AI,Amazon,Data Scientist
9.1,AIML,Java,AI,OpenAI,AI Engineer
6.8,Web Dev,SQL,DBMS,Mindtree,Software Developer
6.0,AIML,Java,AI,HCL,Data Scientist
9.3,AIML,Python,ML,Amazon,AI Engineer
8.8,DevOps,SQL,Data Analytics,Oracle,DevOps Engineer
8.9,Cloud,Python,DevOps,TCS,Cloud Engineer
9.1,Cybersecurity,Rust,Front End,IBM,Cybersecurity Engineer
6.3,Software Dev,C#,DBMS,NIIT Technologies,Data Analyst
