CGPA,Internship Type,Programming Language,Technology,Company,Job Role
7.5,Cloud,Python,DevOps,"Infosys, TCS, Tech Mahindra",Cloud Engineer
9.8,Software Dev,C#,DBMS,"Amazon, NVIDIA, Apple",Software Developer
8.9,Cybersecurity,C++,AI,"TCS, SAP, IBM",Cybersecurity Engineer
8.4,AIML,Java,AI,"Oracle, SAP, IBM",Data Scientist
6.6,Cybersecurity,Rust,Front End,"NIIT Technologies, Birlasoft, Mphasis",Cloud Engineer
6.6,Software Dev,Java,Big Data,"NIIT Technologies, Mindtree, Mphasis",Software Developer
6.2,Software Dev,Java,Backend,"Mphasis, NIIT Technologies, Birlasoft",Software Developer
9.5,AIML,Java,AI,"Apple, Microsoft, Amazon",Data Scientist
8.4,DevOps,TypeScript,Backend,"Infosys, IBM, Oracle",System Engineer
8.8,Software Dev,Python,Data Analytics,"SAP, TCS, Oracle",System Engineer
6.1,Cloud,Python,Cloud Computing,"Birlasoft, NIIT Technologies, Mphasis",Cloud Engineer
9.9,DevOps,Go,DevOps,"OpenAI, IBM, Apple",DevOps Engineer
9.3,AIML,Python,ML,"NVIDIA, Microsoft, IBM",AI Engineer
6.8,Web Dev,SQL,DBMS,"Mphasis, NIIT Technologies, Mindtree",Web Developer
6.7,Cybersecurity,C++,Cybersecurity,"Mphasis, NIIT Technologies, Mindtree",Cybersecurity Engineer
6.7,Software Dev,Java,Big Data,"Mindtree, NIIT Technologies, Mphasis",System Engineer
7.2,Software Dev,Python,Data Analytics,"TCS, Tech Mahindra, Wipro",Data Analyst
8.1,Cloud,SQL,Data Analytics,"Capgemini, IBM, SAP",Cloud Engineer
7.7,Software Dev,Python,Data Analytics,"Wipro, Tech Mahindra, Infosys",Data Analyst
7.2,AIML,R,Data Analytics,"Tech Mahindra, TCS, Wipro",Data Scientist
8.4,Web Dev,JavaScript,Backend,"SAP, Oracle, IBM",Software Developer
6.6,AIML,Java,Big Data,"Mindtree, Birlasoft, NIIT Technologies",Data Scientist
7.2,AIML,R,Data Analytics,"Tech Mahindra, Cognizant, Infosys",Data Scientist
7.5,Software Dev,Python,Data Analytics,"Cognizant, Wipro, HCL",Data Analyst
7.8,Software Dev,C#,DBMS,"Wipro, TCS, Infosys",Software Developer
9.1,Software Dev,Java,Backend,"Google, Amazon, IBM",Data Analyst
6.8,Cybersecurity,C++,Cybersecurity,"NIIT Technologies, Mindtree, Mphasis",Cloud Engineer
8.1,AIML,R,ML,"Capgemini, Infosys, Oracle",Data Scientist
8.4,Cybersecurity,Rust,Front End,"Capgemini, Infosys, IBM",Cybersecurity Engineer
6.2,Cloud,SQL,DBMS,"NIIT Technologies, Birlasoft, Mindtree",Cloud Engineer
8.4,AIML,Python,Big Data,"Oracle, SAP, Capgemini",Data Scientist
6.7,AIML,Java,Big Data,"Birlasoft, Mindtree, NIIT Technologies",Data Scientist
6.3,Cybersecurity,C++,Cybersecurity,"Mindtree, HCL, Birlasoft",Cybersecurity Engineer
9.8,Web Dev,SQL,Data Analytics,"OpenAI, Microsoft, IBM",Web Developer
9.9,DevOps,TypeScript,Backend,"Microsoft, Amazon, Google",DevOps Engineer
9.2,Software Dev,Python,Data Analytics,"Google, IBM, NVIDIA",Data Analyst
7.2,Web Dev,TypeScript,Front End,"Tech Mahindra, TCS, Infosys",Web Developer
6.4,Cybersecurity,C++,Cybersecurity,"HCL, Mphasis, NIIT Technologies",Cybersecurity Engineer
8.7,Software Dev,Java,Backend,"TCS, Infosys, SAP",System Engineer
7.8,DevOps,Go,DevOps,"Cognizant, Infosys, Wipro",DevOps Engineer
6.5,Web Dev,JavaScript,Front End,"Birlasoft, Mindtree, NIIT Technologies",Web Developer
8.0,Software Dev,Java,Big Data,"Oracle, SAP, TCS",Data Analyst
6.1,AIML,R,ML,"HCL, Birlasoft, NIIT Technologies",Data Scientist
9.6,Software Dev,Java,Backend,"Amazon, Microsoft, Google",Data Analyst
7.0,Cybersecurity,C++,Cybersecurity,"Tech Mahindra, Infosys, Wipro",Cybersecurity Engineer
8.7,AIML,Java,AI,"SAP, IBM, TCS",AI Engineer
7.2,Cloud,SQL,Data Analytics,"Wipro, Infosys, HCL",Cloud Engineer
8.1,AIML,Java,AI,"IBM, Infosys, Oracle",AI Engineer
8.2,Software Dev,Java,Big Data,"Oracle, Capgemini, Infosys",System Engineer
6.7,Cybersecurity,Rust,Cybersecurity,"Mphasis, NIIT Technologies, Birlasoft",Cloud Engineer
9.9,Cloud,Python,DevOps,"Apple, Amazon, IBM",DevOps Engineer
9.1,AIML,Java,Big Data,"Google, Amazon, Microsoft",AI Engineer
9.8,Web Dev,SQL,Data Analytics,"IBM, Apple, Google",Web Developer
9.6,Web Dev,SQL,DBMS,"IBM, OpenAI, Microsoft",Web Developer
8.4,DevOps,SQL,Data Analytics,"Infosys, Oracle, Capgemini",DevOps Engineer
9.7,DevOps,Go,Cloud Computing,"Microsoft, IBM, NVIDIA",System Engineer
6.4,Web Dev,SQL,DBMS,"Birlasoft, NIIT Technologies, HCL",Software Developer
6.8,Software Dev,Python,Big Data,"Mindtree, Mphasis, NIIT Technologies",Software Developer
6.2,Web Dev,TypeScript,Front End,"HCL, Mphasis, Mindtree",Web Developer
7.3,Cybersecurity,C++,Cybersecurity,"Tech Mahindra, Infosys, Wipro",Cloud Engineer
7.6,Web Dev,JavaScript,Backend,"HCL, TCS, Wipro",Software Developer
7.1,Software Dev,Java,Big Data,"HCL, Wipro, Infosys",Software Developer
9.3,AIML,R,ML,"Amazon, NVIDIA, Apple",AI Engineer
7.4,DevOps,TypeScript,DevOps,"Infosys, Cognizant, Wipro",DevOps Engineer
7.1,Web Dev,TypeScript,Front End,"HCL, Infosys, TCS",Software Developer
8.2,DevOps,TypeScript,Backend,"Oracle, SAP, Infosys",DevOps Engineer
6.6,AIML,Python,ML,"Mindtree, NIIT Technologies, Birlasoft",Data Scientist
9.2,Web Dev,TypeScript,Front End,"OpenAI, IBM, Apple",Software Developer
6.3,AIML,Python,ML,"Birlasoft, Mindtree, HCL",Data Scientist
9.9,AIML,Java,AI,"Amazon, Google, OpenAI",Data Scientist
9.1,AIML,Java,AI,"OpenAI, NVIDIA, Apple",AI Engineer
6.8,Web Dev,SQL,DBMS,"Mindtree, Mphasis, NIIT Technologies",Software Developer
6.0,AIML,Java,AI,"HCL, Mindtree, NIIT Technologies",Data Scientist
9.3,AIML,Python,ML,"Amazon, Microsoft, Apple",AI Engineer
8.8,DevOps,SQL,Data Analytics,"Oracle, Capgemini, Infosys",DevOps Engineer
8.9,Cloud,Python,DevOps,"TCS, Capgemini, Infosys",Cloud Engineer
9.1,Cybersecurity,Rust,Front End,"IBM, NVIDIA, Google",Cybersecurity Engineer
6.3,Software Dev,C#,DBMS,"NIIT Technologies, Mindtree, Mphasis",Data Analyst
7.4,Software Dev,Python,Data Analytics,"Wipro, Cognizant, Tech Mahindra",System Engineer
6.5,Cybersecurity,Rust,Front End,"Mindtree, Birlasoft, NIIT Technologies",Cloud Engineer
9.5,Web Dev,TypeScript,Front End,"OpenAI, Amazon, IBM",Web Developer
8.5,AIML,Python,Big Data,"Capgemini, SAP, TCS",Data Scientist
7.3,Web Dev,JavaScript,Backend,"TCS, Cognizant, HCL",Web Developer
6.3,Cloud,SQL,Data Analytics,"Birlasoft, HCL, Mindtree",Cloud Engineer
7.2,AIML,Python,ML,"Infosys, HCL, Cognizant",Data Scientist
7.3,Cloud,Python,Cloud Computing,"Wipro, HCL, Infosys",Cloud Engineer
8.9,Software Dev,C#,DBMS,"Oracle, SAP, IBM",Data Analyst
8.6,Software Dev,Java,Big Data,"Capgemini, Infosys, Oracle",System Engineer
9.5,Cybersecurity,C++,Cybersecurity,"IBM, Microsoft, NVIDIA",Cybersecurity Engineer
7.9,Cybersecurity,C++,Cybersecurity,"Cognizant, Wipro, TCS",Cybersecurity Engineer
6.5,Software Dev,C#,DBMS,"Mindtree, Birlasoft, Mphasis",Data Analyst
8.9,DevOps,TypeScript,Backend,"Capgemini, Oracle, SAP",System Engineer
9.0,Software Dev,Python,Big Data,"IBM, Apple, NVIDIA",System Engineer
8.2,DevOps,Go,Cloud Computing,"IBM, SAP, Capgemini",System Engineer
